region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,custcat
2,13,44,1,9,64,4,5,0,0,2,1
3,11,33,1,7,136,5,5,0,0,6,4
3,68,52,1,24,116,1,29,0,1,2,3
2,33,33,0,12,33,2,0,0,1,1,1
2,23,30,1,9,30,1,2,0,0,4,3
2,41,39,0,17,78,2,16,0,1,1,3
3,45,22,1,2,19,2,4,0,1,5,2
2,38,35,0,5,76,2,10,0,0,3,4
3,45,59,1,7,166,4,31,0,0,5,3
1,68,41,1,21,72,1,22,0,0,3,2
2,5,33,0,10,125,4,5,0,1,1,1
3,7,35,0,14,80,2,15,0,1,1,3
1,41,38,1,8,37,2,9,0,1,3,1
2,57,54,1,30,115,4,23,0,1,3,4
2,9,46,0,3,25,1,8,0,1,2,1
